0	it is the county seat of alfalfa county  	it is the county seat of alfalfa county  	it is the county seat of pre raphaelite county  
8149	a software developer is a person concerned with facets of the software development process  	a software developer is a company or person that creates software   either completely   or with other companies or people  	a software developer is a person who studies software  
8150	the major exception to the convention that the number tracks the order of discovery or determination of orbit is the case of pluto  	the major exception to the convention that the number tracks the order they were or the order that they  re orbit was calculated is the case of pluto  	the major exception to the convention that the number tracks the order of discovery or determination of orbit is the case of pluto  
8151	they are used for dwarf planets and small solar system bodies such as asteroids   but not comets  	they are used for dwarf planets and small solar system bodies such as asteroids   but not comets  	they are used for dwarf planets and small solar system bodies such as asteroids   but not comets  
8152	they are assigned to a body once its orbit is secured   and are unrelated to provisional designations   which are automatically assigned when an object is discovered  	they are given to a body once its orbit is secured   and are unrelated to provisional designations   which are given when an object is found  	they are assigned to a body once its orbit is secured   and are unrelated to provisional designations   which are automatically assigned when an object is discovered  
8153	dysprosium is a rare earth element that has a metallic   bright silver luster  	dysprosium is a rare earth element that has a metallic   bright silver luster  	  is a rare earth element that has a metallic   bright silver luster  
8154	dysprosium is a chemical element with the symbol dy and atomic number 66  	dysprosium is a chemical element with the symbol dy and atomic number 66  	dysprosium is a chemical element with the symbol dy and atomic number 66  
8155	it has the same orbital period as neptune and orbits at the lagrangian point about 60 degrees ahead of neptune	they have the same orbital period as neptune and orbit at the l4 lagrangian point about 60 degrees ahead of neptune  	it has the same orbital period as neptune and orbits at the lagrangian point about 60 degrees ahead of neptune  
8156	for example   the maya civilization developed a writing system   built huge pyramids   had a complex calendar   and developed the concept of zero 500 years before anyone in the old world  	for example   the maya civilization developed a writing system   built huge pyramids   had a complex calendar   and developed the concept of zero 500 years before anyone in the old world  	for example   the maya civilization developed a writing system   built huge pyramids   had a complex calendar   and developed the concept of zero 500 years before anyone in the old world  
8157	he studied art history and state studies in munich and berlin  	he studied art history and state studies in munich and berlin  	he studied art history and state studies in munich and berlin  
8158	heuss became a member of the german democratic party  lrb  deutsche demokratische partei   ddp  rrb    the political heir of the fortschrittliche volkspartei   in 1918 and was a member of parliament in the reichstag from 1924 to 1928 and from 1930 to 1933  	heuss became a member of the german democratic party  lrb  deutsche demokratische partei   ddp  rrb  and was a member of parliament for two periods  	heuss became a member of the german democratic party  lrb  deutsche demokratische partei   ddp  rrb    the political heir of the fortschrittliche volkspartei   in 1918 and was a member of parliament in the reichstag from 1924 to 1928 and from 1930 to 1933  
8159	between 1923 and 1926   he published the magazine die deutsche nation  lrb     the german nation     rrb   	between 1923 and 1926 he published the magazine die deutsche nation  lrb     the german nation     rrb   	from 1923 and 1926   he published the magazine die deutsche nation  lrb     the german nation     rrb   
8160	theodor heuss  lrb  31 january 1884    12 december 1963  rrb  was a german politician and served as the first president of the federal republic of germany from 1949 to 1959  	dr  theodor heuss  lrb  31 january 1884     12 december 1963  rrb  was a german politician   he was the first person elected to a regular term as president of the federal republic of germany  	theodor heuss  lrb  31 january 1884    12 december 1963  rrb  was a german politician and served as the first president of the federal republic of germany from 1949 to 1959  
8161	parvicursor  lrb  meaning    small runner     rrb  is a genus of tiny maniraptoran dinosaur with long slender legs for fast running  	parvicursor  lrb  meaning    small runner     rrb  is a genus of tiny maniraptoran dinosaur with long slender legs for fast running  	parvicursor  lrb  meaning    small runner     rrb  is a genus of tiny maniraptoran dinosaur with long slender legs for fast running  
8162	at only about 39 cm  lrb    15 in  rrb  from snout to end of tail   and 162 grams  lrb  5 7 ounces  rrb  in weight   it is one of the smallest non avian dinosaurs known from an adult specimen  	at only about 39 cm  lrb    15 in  rrb  from snout to end of tail   and 162 grams  lrb  5 7 ounces  rrb  in weight   it is one of the smallest non avian dinosaurs known from an adult specimen  	it is one of the smallest non avian dinosaurs known from an adult specimen  
8163	liencourt is a commune in the pas de calais department in the nord pas de calais region of france  	liencourt is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  	liencourt is a commune in the pas de calais department in the nord pas de calais region of france  
8164	vasa has been the subject of hundreds of books   articles and papers on topics ranging from marine archaeology to culinary history   three children  s books about vasa have been written in swedish and later translated into english   german   danish   and norwegian   the vasa saga by bertil almqvist   the vasa sets sail by mats wahl  lrb  illustrated by sven nordqvist  rrb    and the vasa piglet by bj rn bergenholtz  	vasa was a big swedish warship  	vasa has been the subject of hundreds of books   articles and papers on topics ranging from marine archaeology to culinary history  
8165	in 1854   after completion of the first cabin   nine men established the topeka town association  	topeka was established in 1854 when nine men founded the topeka town association  	in 1854   after completion of the first cabin   nine men established the topeka town association  
8166	some of the 1930s trams are still in regular service in virtually unchanged condition  	most of them were built in the 1930s and are still in service in an unchanged condition  	some of the 1930s trams are still in regular service  
8167	in 1813   jos mar a morelos and the congress of an huac signed the solemn act of the declaration of independence of northern america   the first legal document where the separation of the new spain with respect to spain is proclaimed  	in 1813   jos mar a morelos and the congress of an huac signed the solemn act of the declaration of independence of northern america   the first legal document where the separation of the new spain with respect to spain is proclaimed  	in 1813   jos mar a morelos and the congress of an huac signed the solemn act of the declaration of independence of northern america   the first legal document where the separation of the new spain with respect to spain is proclaimed  
8168	a rail accident investigation board report stated that the derailment was due to wear and tear on the track with a contributory factor being the new type of running gear on the two car prototype  	a rail accident investigation board report said that the derailmet was because of wear and tear on the track   they said another factor was the new type of running gear on the two car prototype  	a rail accident investigation board report stated that the derailment was due to wear and tear on the track with a contributory factor being the new type of running gear on the two car prototype  
8169	it is run by blackpool transport  lrb  bts  rrb  as part of the metro coastlines network   owned by blackpool borough council  	the tramway is owned by blackpool borough council and is run by blackpool transport as part of the metro coastlines network  	it is run by blackpool transport  lrb   rrb  as part of the metro coastlines network   owned by blackpool borough council  
8170	the tramway runs for 11 m and carries 6 500 000 passengers each year  	the tramway runs for 11 m   and over 6 500 000 people travel on it each year  	the tramway runs for 11 m and carries 6 500 000 passengers each year  
8171	in 2004 campaigners behind the bid expressed disappointment that nothing had been done to take the plans forward in two years  	in 2004 campaigners behind the bid expressed disappointment that nothing had been done to take the plans forward in two years  	in 2004 campaigners behind the bid expressed disappointment that nothing had been done to take the plans forward in two years  
8172	trams run from starr gate in the south to fleetwood in the north  	the trams from starr gate in the south to fleetwood in the north  	trams run from starr gate in the south to fleetwood in the north  
8173	it was one of the first practical electric tramways in the world   just six years after werner von siemens first demonstrated electric traction  	this was one of the first practical electric tramways built in the world   it opened six years after werner von siemens first showed electric traction  	it was one of the first practical electric tramways in the world  
8174	in january 2007 the city class 611 prototype    supertram    was being tested on the tramway when it caught fire as it approached central pier   causing extensive damage  	in january 2007 the city class 611 prototype    supertram    was being tested on the tramway   it caught fire as it approached central pier  	in january 2007 the city class 611 prototype    supertram    was being tested on the tramway when it caught fire as it approached central pier   causing extensive damage  
8175	a new depot was built on whitegate drive in marton  	at whitegate drive in marton a new depot was built  	a new depot was built on whitegate drive in marton  
8176	the small bold street depot in fleetwood was closed and a loop constructed at fleetwood ferry  	the small bold street depot in fleetwood was closed and a new loop was built at fleetwood ferry  	the railway depot in fleetwood was closed and a loop constructed at fleetwood ferry  
8177	occasionally historic trams are borrowed from the national tramway museum in crich for public service  	sometime historic trams are borrowed from the national tramway museum in crich and other museums for public service  	occasionally historic trams are borrowed from the national tramway museum in crich for public service  
8178	the final tramway extension was in 1926   along the promenade to clifton drive at starr gate where a connection was with lytham st annes tracks  	it went along the promenade to clifton drive at starr gate   a connection was made there with the lytham st annes tracks  	the final tramway extension was in 1926   along the promenade to clifton drive at starr gate where a connection was with lytham st annes tracks  
8179	in 1901 the marton loop was opened   connecting talbot square and central station along church street   devonshire square   whitegate drive   waterloo road and central drive  	the marton loop opened in 1901   it connected talbot square and central station along church street   devonshire square   whitegate drive   waterloo road and central drive  	in 1901 the marton loop was opened   connecting talbot square and central station along church street   devonshire square   whitegate drive   waterloo road and central drive  
8180	blackpool was the only town in the uk that retained its trams   and between 1962 and 1992 blackpool had the only urban tramway in the uk  	blackpool was the only town in the uk that kept its trams   between 1962 and 1992 blackpool was the only town with a tramway in the uk that was not a preserved system  	blackpool was the only town in the uk that kept its trams   and between 1962 and 1992 blackpool had the only urban tramway in the uk  
8181	hermes was born on mount cyllene in arcadia  	he was born on mount cyllene  	hermes was born on mount cyllene in arcadia  
8182	for the first time the entire length of the tramway was closed in november 2007 for five months of essential repair work   the second phase of an    11 800 000 upgrade  	in november 2007 the whole tramway closed for the first time   it was closed for five months for the second part of an    11 800 000 upgrade  	for the first time the entire length of the tramway was closed in november 2007 for five months of essential repair work   the second phase of an    11 800 000 upgrade  
8183	the tramway today runs from starr gate in blackpool to the ferry terminus in fleetwood  	today the tramway runs from starr gate in blackpool to the ferry terminus in fleetwood  	the tramway now runs from starr gate in blackpool to the ferry end in fleetwood  
8184	the first part of the tramway opened on 29 september 1885   a conduit line running from cocker street to dean street on blackpool promenade  	it was a conduit line   it ran from cocker street to dean street on the blackpool promenade  	the first part of the tramway opened on 29 september 1885  
8185	blackpool borough council transferred the operation of the tramway and buses to blackpool transport services limited in 1986  	the running of the buses and tramway was handed over to blackpool transport services limited in 1986 by blackpool borough council  	blackpool borough council transferred the operation of the tramway and buses to blackpool transport services limited in 1986  
8186	fleetwood was the only town in england to retain trams running down the main street  	until the opening of the metrolink   fleetwood was the only town in england that kept trams running down the main street  	fleetwood was the only town in england to retain trams running down the main street  
8187	in 1936 route closures began with the central drive and layton routes  	the first route closure took place in 1936   they were the central drive and layton routes  	in 1936 route closures began with the central drive and layton routes  
8188	some services   especially in busy periods such as during blackpool illuminations or on bank holidays   start or terminate short at cleveleys   red bank road in bispham   or the pleasure beach  	at busy periods such as the blackpool illuminations or on bank holidays services start or finish short at cleveleys   bispham or the pleasure beach  	some services   especially in busy periods such as during blackpool illuminations or on bank holidays   start or terminate short at cleveleys   red bank road in bispham   or the pleasure beach  
8189	the original blundell street depot was replaced by a larger depot on rigby road in 1920  	the depot at blundell street was replaced by a bigger one on rigby road in 1920  	the original blundell street depot was replaced by a larger depot on rigby road in 1920  
8190	but the wall street crash of 1929 combined with drought ushered in a period of economic hardship in the united states and canada  	but the wall street crash of 1929 combined with drought ushered in a period of economic hardship in the united states and canada  	but the wall street crash of 1929 combined with drought ushered in a period of economic hardship in the united states and canada  
8191	boyelles is a commune in the pas de calais department in the nord pas de calais region of france  	boyelles is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  	boyelles is a commune in the pas de calais department in the nord pas de calais region of france  
8192	the word candela means candle in latin   spanish and italian  	a candela sometimes has the name   candle    	the word candela means candle in latin   spanish and italian  
8193	its alliance with nissan makes it the world  s third largest automaker  	its alliance with nissan makes it the world  s fourth largest vehicle maker  	its alliance with nissan makes it the world  s third largest automaker  
8194	renault s a  is a french automaker producing cars   vans   and in the past   autorail vehicles   trucks   tractors   vans and also buses  coaches  	renault s a  is a french vehicle manufacturer producing cars   vans   buses   tractors   and trucks   and   in the past   autorail vehicles  	renault s a  is a general purpose airliner  
8195	its rocky beach and clear waters are ideal for snorkeling and scuba diving as well as surfing during the monsoon season  	its rocky beach and clear waters are ideal for snorkeling and scuba diving  	its rocky beach and clear waters are ideal for snorkeling and scuba diving as well as surfing during the monsoon season  
8196	the village does n t have running water   but has electric power  	the village has neither running water nor electric power  	the village does n t have running water   but has electric power  
8197	cilia and mucus along the inside wall of the nasal cavity trap and remove dust and pathogens from the air as it flows through the nasal cavity  	cilia  lrb  small hairs  rrb  and mucus along the inside wall of the nasal cavity trap and remove dust and germs from the air as it flows through the nasal cavity  	cilia and mucus along the inside wall of the nasal cavity trap and remove dust and pathogens from the air as it flows through the nasal cavity  
8198	on the sides of the nasal cavity are three horizontal outgrowths called nasal conchae  lrb  singular    concha     rrb  or turbinates  	on the sides of the nasal cavity are three horizontal outgrowths called turbinates  	on the sides of the nasal cavity are three horizontal outgrowths called nasal conchae  lrb  singular    concha     rrb  or turbinates  
8199	the nasal cavity is enclosed by the nasal bone above  	the nasal cavity is covered by the nasal bone above and by the maxilla and ethmoid bone on the sides   the top of the inside of the mouth separates the nasal cavity from the mouth  	the nasal cavity is enclosed by the nasal bone above  
8200	diseases of the nasal cavity include viral   bacterial and fungal infections   nasal cavity tumors   both benign and much more often malign   as well as inflammations of the nasal mucosa  	diseases of the nasal cavity include viral infections and nasal cavity cancer  	diseases of the nasal cavity include viral   bacterial and fungal infections   nasal cavity tumors   both benign and much more often malign   as well as inflammations of the nasal mucosa  
8201	the nasal cavity is divided in two by a vertical fin called the nasal septum  	the nasal cavity is divided in two by a vertical fin called the nasal septum  	the nasal cavity is divided in two by a vertical fin called the nasal septum  
8202	the cilia move the mucus down the nasal cavity to the pharynx   where it can be swallowed  	the cilia move the mucus down the nasal cavity to the pharynx   where it can be swallowed  	the cilia move the mucus down the nasal cavity to the pharynx   where it can be swallowed  
8203	the vomeronasal organ is located at the back of the septum and has a role in pheromone detection  	the vomeronasal organ is found at the back of the septum and has a role in finding pheromones  	the vomeronasal organ is at the back of the septum and has a role in finding detection  
8204	rock band is a music video game developed by harmonix music systems   published by mtv games and electronic arts  	rock band is a music video game developed by harmonix music systems   published by mtv games   and distributed by ea distribution  	it was developed by harmonix music systems   published by mtv games and electronic arts  
8205	the orbital speed at any position in the orbit can be computed from the distance to the central body at that position   and the specific orbital energy   which is independent of position   the kinetic energy is the total energy minus the potential energy  	the orbital speed at any position in the orbit can be computed from the distance to the central body at that position   and the specific orbital energy   which is independent of position   the kinetic energy is the total energy minus the potential energy  	the orbital speed at any position in the orbit can be computed from the distance to the central body at that position   and the specific orbital energy   which is independent of position   the kinetic energy is the total energy minus the potential energy  
8206	the orbital speed of a body   generally a planet   a natural satellite   an artificial satellite   or a multiple star   is the speed at which it orbits around the barycenter of a system   usually around a more massive body  	the orbital speed of a body   usually a planet   a natural satellite   an artificial satellite   or a multiple star   is the speed at which it orbits around the barycenter of a system   usually around a more massive body  	the orbital speed of a body   generally a planet   a moon   an artificial satellite   or a multiple star   is the speed at which it orbits around the barycenter of a system   usually around a more massive body  
8207	it can be used to refer to either the mean orbital speed   the average speed as it completes an orbit   or instantaneous orbital speed   the speed at a particular point in its orbit  	it can be used to refer to either the mean orbital speed   the average speed as it completes an orbit   or instantaneous orbital speed   the speed at a particular point in its orbit  	it can be used to refer to either the mean orbital speed  
8208	further to the south   plantation slavery became the main industry of the west indies   and this gave rise to the beginning of the atlantic slave trade  	farther to the south   plantation slavery became the main industry of the west indies   and this gave rise to the beginning of the atlantic slave trade  	it was the main industry of the west slave trade  
8209	pierluigi collina  lrb  born 13 february 1960  rrb  is a former italian football referee  	pierluigi collina  lrb  born 13 february 1960  rrb  is a former italian football referee  	pierluigi collina  lrb    born 13 february 1960   is a former italian football referee  
8210	meanwhile   an albanian student takes bart  s place in the simpsons family   and shows great interest in homer  s work at the nuclear power plant  	while that  s going on in france   an albanian student takes bart  s place in the simpsons family   and shows great interest in homer  s work at the    nuclear power plant     	meanwhile   an albanian student takes bart  s place in the simpsons family   and shows great interest in homer  s work at the nuclear power plant  
8211	in the episode   bart is sent to france on a student exchange trip   where his hosts treat him as a slave  	in this episode   bart is sent to france on a student exchange trip   where his hosts treat him like a slave  	in the episode   bart is sent to france on a student exchange trip   where his hosts treat him as a slave  
8212	the episode was written by george meyer   sam simon   john swartzwelder and jon vitti   and was directed by wes archer and milton gray  	the episode was written by george meyer   sam simon   john swartzwelder and jon vitti   and was directed by wes archer and milton gray  	the episode was written by george meyer   sam simon   john swartzwelder and jon vitti  
8213	toru miyamoto is a japanese football player  	toru miyamoto  lrb  born 3 december 1982  rrb  is a japanese football player  	toru miyamoto is a japanese football player  
8214	sodium bromide is the most useful inorganic bromide in industry  	it is made of sodium and bromide ions  	sodium bromide is a colorless solid  
8215	the united states was then able to play a crucial role at the paris peace conference of 1919 that shaped interwar europe  	the united states was then able to play a crucial role at the paris peace conference of 1919 that shaped interwar europe  	the united states was then able to play a crucial role at the paris peace conference of 1919 that shaped interwar europe  
8216	sodium bromide is an inorganic compound with the formula nabr  	sodium bromide is a chemical compound   its chemical formula is nabr  	sodium bromide is a chemical compound  
8217	sodium bromide is used to prepare dense fluids used in oil wells  	it can be used to make dense fluids for drilling oil wells  	sodium bromide is used to make sugar  
8218	colbert received an honorary doctorate in fine arts from knox college   illinois on june 3   2006   his credit as producer has been listed since that time as    dr  stephen t  colbert   d f a      lrb  later changed in april 2009 to    sir dr  stephen t  colbert   d f a     after colbert was knighted by queen noor of jordan in exchange for his support of the global zero campaign to eliminate nuclear weapons  rrb   	the colbert report is a television talk show starring stephen colbert   stephen colbert acts as if he is very republican   though in reality he is very liberal  	colbert received an honorary doctorate in fine arts from knox college   illinois on june 3   2006  
8219	written by stephen colbert and the colbert report writers   the book covers colbert  s opinions on a wide array of topics not addressed on the show  	the colbert report is a television talk show starring stephen colbert  	the book covers colbert  s opinions on a wide array of topics not addressed on the show  
8220	edin muj in  lrb  born january 14   1970 in bosanski brod  rrb  is a bosnian football player  	edin muj in  lrb  born 14 january 1970  rrb  is a bosnia and herzegovina football player  	edin muj is a bosnian football player  
8221	wayne simmonds  lrb  born august 26   1988  rrb  is a canadian professional ice hockey player   currently playing as a right winger for the los angeles kings of the national hockey league  lrb  nhl  rrb   	wayne simmonds  lrb  born august 26   1988 in scarborough   ontario  rrb  is an nhl ice hockey right winger that currently plays for the los angeles kings  	wayne simmonds  lrb    born august 26   1988   is a canadian professional ice hockey player  
8222	43 ariadne is a fairly large and bright main belt asteroid  	43 ariadne is a fairly big and bright main belt asteroid  	43 ariadne is a fairly large and bright main belt asteroid  
8223	it is a retrograde rotator   although its pole points almost parallel to the ecliptic towards ecliptic coordinates  lrb          rrb     lrb   15    253   rrb  with a 10  uncertainty  	it is a retrograde rotator   although its pole points almost parallel to the ecliptic towards ecliptic coordinates  lrb          rrb     lrb   15    235   rrb  with a 10  uncertainty  lrb  2  rrb   	it is a retrograde rotator   although its pole points almost parallel to the ecliptic towards ecliptic coordinates  lrb          rrb     lrb   15    253   rrb  with a 10  uncertainty  
8224	ariadne is very elongate  lrb  almost twice as long as its smallest dimension  rrb  and probably bi lobed or at least very angular  	ariadne is very stretched  lrb  almost twice as long as its smallest dimension  rrb   	ariadne is very stretched  lrb  almost twice as long as its smallest dimension  rrb  and probably bi lobed or at least very angular  
8225	the east anglia main line railway runs through the town   with needham market railway station providing trains to ipswich   cambridge and peterborough   the a14  lrb  although then the a45  rrb  once ran directly through needham market   but a bypass was built in the 1970s  	needham market is a town near the a14 road in suffolk   england  	the railway station is the    lrb   
8226	burg f 1  4 rsteneck is a castle   situated in central germany between fulda and bad hersfeld  	burg f 1  4 rsteneck is a castle   situated in the middle of germany between the towns of fulda and bad hersfeld  	burg f 1  4 is a castle   situated in central germany between fulda and bad hersfeld  
8227	since 1952 the castle burg f 1  4 rsteneck is used as an academy for vocational and cultural continuing education  	since 1952 burg f 1  4 rsteneck became an academy for vocational and cultural education  	in 1952 the castle burg f 1  4 rsteneck is used as an academy for vocational and cultural continuing education  
8228	he read music at clare college   cambridge   where he was a member of the choir  	rutter studied music at clare college   cambridge  	he read music at clare college   cambridge   where he was a member of the choir  
8229	us expansion was complicated by the division between    free    and    slave    states   which led to the missouri compromise 1820  	us expansion was complicated by the division between    free    and    slave    states   which led to the missouri compromise 1820  	this led to the missouri compromise 1820  
8230	the castle lies at an altitude of 406 meters on a small plateau  	the castle lies at an altitude of 406 meters on a small plateau  	the castle lies at an altitude of 406 meters on a small plateau  
8231	lisa  s pin collection grows   and when she runs out of money   she trades her pearl necklace to a vendor in exchange for a pin from the 1924 winter olympics in chamonix   france  	lisa buys so many olympic mascot pins that she does n t have anymore money left so she trades her pearl necklace for a mascot pin from the 1924 winter olympics  	she  s pin collection grows  
8232	he manages to retrieve her necklace by tricking the pin vendor with    fatov      a phony mascot    created    in advance for the 2014 winter olympics in sochi   russia   the mascot is really homer  s jowls   clipped by bart from his driver  s license  	bart offers to help lisa with defeating her pin collecting addiction and manages to get back her necklace by tricking the pin vendor with    fatov      who is a phony mascot that was    created    in advance for the 2014 winter olympics but the mascot is really homer  s mouth   clipped by bart from his driver  s license  	the mascot is really homer  s jowls   clipped by bart from his driver  s license  
8233	meanwhile   at the trials   lisa is given an olympic mascot pin  	meanwhile   lisa is given a olympic mascot pin and she decides to collect them but her pin collecting addiction goes out of control  	meanwhile   at the trials   lisa is given an olympic mascot pin  
8234	marge insists she can compensate for his weak throws   but she injures her right shoulder while sweeping to secure a win in the semifinals   she is told that she will never curl again and that the american team must concede the gold medal game to sweden  	marge injures her shoulder in the semi finals and she is told that she wil never sweep again and that the american mixed curling team must concede the gold medal to sweden  	she says she can compensate for his weak throws   but she injures her right shoulder while sweeping to secure a win in the semifinals  
8235	upon maturation   the neck opens to allow sperm cells to swim into the archegonium and fertilize the egg  	when the egg is mature   the neck opens and sperm swims in to fertilize the egg  	the neck opens to allow sperm cells to swim into the archegonium and fertilize the egg  
8236	since the archegonium is a haploid structure   egg cells are produced via mitosis   the typical bryophyte archegonium consists of a long neck with a wider base containing the egg cell  	the archegonium has a long   neck   with the egg cell inside  	the typical bryophyte archegonium consists of a long neck with a wider base containing the egg cell  
8237	in the ensuing conscription crisis of 1917   riots broke out on the streets of montreal  	in the ensuing conscription crisis of 1917   riots broke out on the streets of montreal  	in the ensuing murder of 1917   riots broke out on the streets of montreal  
8238	the gametophyte cell closest to the micropyle opening of the embryo sac develops into the egg cell  	the cell closest to the opening of the embryo sac becomes the egg cell  	the cells closest to the micropyle opening of the embryo sac develops into the egg cell  
8239	both animals and embryophytes have ova  	both animals and land plants  lrb  embryophytes  rrb  produce ova  	this is called the    
8240	an ovum  lrb  plural ova   from the latin word ovum meaning egg or egg cell  rrb  is a haploid female reproductive cell or gamete  	an ovum  lrb  latin      egg      plural   ova  rrb  is the name for the haploid female reproductive cell   or gamete  	it is a female reproductive cell  
8241	in the viviparous animals  lrb  which include humans and all other placental mammals  rrb    the ovum is fertilized inside the female body   and the embryo then develops inside the uterus   receiving nutrition directly from the mother  	the ovum is fertilized inside the female body   and the embryo then develops inside the uterus   being fed by the mothers placenta  	the ovum then develops inside the uterus  
8242	in the flowering plants   the female gametophyte   which usually gives rise to the archegonium   has been reduced to just eight cells referred to as the embryo sac inside the ovule  	in flowering plants   the female gametes are made of only eight cells   called the embryo sac   inside the ovule  	in the flowering plants   the female gametophyte   which usually gives rise to the archegonium   has been reduced to just eight cells referred to as the embryo sac inside the ovary  
8243	in protists   fungi and many plants   such as bryophytes   ferns   and gymnosperms   ova are produced inside archegonia  	in many plants   ova are made inside archegonia through meiosis  	in protists   fungi and gymnosperms are produced inside archegonia  
8244	one third of all human deaths are from poverty related causes   18 million annually   including 12 million children under five  	one third of all human deaths are from poverty related causes   18 million annually   including 12 million children under five  	one third of all human deaths are from poverty related causes   18 million annually   including 12 million children under five  
8245	at the other end of the spectrum   the 15 percent of humankind in the developed countries have 80 percent of global income  	at the other end of the spectrum   the 15 percent of people in the developed countries have 80 percent of global income  	at the other end of the spectrum   the 15 percent of people in the developed countries have 80 percent of global income  
8246	there was limited contact between north american people and the outside world before 1492  	there was limited contact between north american peoples and the outside world before 1492  	there was limited contact between north american people and the outside world before 1492  
8247	the badge  s clear blue border bears the motto in action faithful and in honour clear  lrb  alexander pope  s description  lrb  in iambic pentameter  rrb  in his epistle to mr addison of james craggs   later used on craggs   monument in westminster abbey  rrb  in gold letters   and the oval is surmounted by an imperial crown  	the badge  s clear blue border bears the motto in action faithful and in honour clear  lrb  alexander pope  s description  lrb  in iambic pentameter  rrb  in his epistle to mr addison of james craggs   later used on craggs   monument in westminster abbey  rrb  in gold letters   and the oval is surmounted by an imperial crown  	the badge  s clear blue border bears the motto in action faithful  
8248	it was founded by king george v in june 1917   as a reward for outstanding achievements in the arts   literature   music   science   politics   industry or religion  	it was founded by king george v in june 1917   as a reward for outstanding achievements in the arts   literature   music   science   politics   industry or religion  	it was founded by king george v in june 1917  
8249	mexico faced constant political tensions between liberals and conservatives   as well as the rebellion of the english speaking region of texas   which declared itself the republic of texas 1836  	mexico faced constant political tensions between liberals and conservatives   as well as the rebellion of the english speaking region of tejas   which declared itself the republic of texas 1836  	mexico faced constant political tensions between liberals and conservatives   as well as the rebellion of the english speaking region of texas   which declared itself the republic of texas 1836  
8250	the insignia of the order consists of an oval medallion with an oak tree   a shield with the royal arms hanging from one branch   and on the left a mounted knight in armor  	the insignia of the order consists of an oval medallion with an oak tree   a shield with the royal arms hanging from one branch   and on the left a mounted knight in armor  	the insignia of the order consists of an oval medallion with an oak tree   a shield with the royal arms hanging from one branch   and on the left a mounted knight in armor  
8251	men wear the badge on a ribbon  lrb  red with golden border threads  rrb  around their necks   and women on a bow at the left shoulder  	men wear the badge on a ribbon  lrb  red with golden border threads  rrb  around their necks   and women on a bow at the left shoulder  	men wear the badge on a ribbon  lrb  red with golden border threads  rrb  around their necks   and women on a bow at the left shoulder  
8252	in canada this was mirrored by the quiet revolution and the emergence of quebec nationalism  	in canada this was mirrored by the quiet revolution and the emergence of quebec nationalism  	in canada this was mirrored by the quiet revolution and the emergence of quebec nationalism  
8253	the sanskrit language   whatever be its antiquity   is of a wonderful structure   more perfect than the greek   more copious than the latin   and more exquisitely refined than either   yet bearing to both of them a stronger affinity   both in the roots of verbs and in the forms of grammar   than could possibly have been produced by accident   so strong   indeed   that no philologer could examine them all three   without believing them to have sprung from some common source   which   perhaps   no longer exists  	sir william jones said      the sanskrit language   whatever be its antiquity   is of a wonderful structure   more perfect than the greek   more copious than the latin   and more exquisitely refined than either   yet bearing to both of them a stronger affinity   both in the roots of verbs and in the forms of grammar   than could possibly have been produced by accident   so strong   indeed   that no philologer could examine them all three   without believing them to have sprung from some common source   which   perhaps   no longer exists     	the sanskrit language   whatever be its antiquity   is of a wonderful structure  
8254	j 1  4 rgen seeberger  lrb  born 25 march 1965 in konstanz  rrb  is a german football manager currently managing vfb stuttgart ii  	j 1  4 rgen seeberger  lrb  born 25 march 1965 in konstanz  rrb  is a german football manager currently managing v f b  stuttgart ii  	j 1  4  lrb   lrb   lrb    born 25 march 1965 in konstanz  rrb    is a german football manager  
8255	the region contains the national petroleum reserve    alaska   with the bulk of alaska  s known petroleum until the prudhoe bay oil field was discovered in 1968   as well as the arctic national wildlife refuge   which itself has been the subject of controversy surrounding the possibility of petroleum drilling within its boundaries  	the national petroleum reserve    alaska and the prudhoe bay oil field are the two biggest areas where oil is found   the arctic national wildlife refuge is there also   and there has been a lot of debate about drilling for oil there  	the region has the national petroleum reserve    alaska     
8256	rivalry between the european powers created a series of wars on the north american landmass that would have great impact on the development of the colonies  	rivalry between the european powers created a series of wars on the north american landmass that would have great impact on the development of the colonies  	rivalry between the european powers created a series of wars on the north american landmass that would have great impact on the development of the colonies  
8257	on top of this permafrost   water flows to sea via shallow   braided streams or settles into pools and ponds  	on top of this permafrost   water flows to in shallow braided streams   some of it goes into ponds  	on top of this permafrost   water flows to sea via shallow   braided streams or settles into pools and ponds  
8258	within the north slope   only a surface    active layer    of the tundra thaws each season   most of the soil is permanently frozen year round  	because it gets so cold that far north only the very top of soil   called    tundra    thaws each season   most of the soil is frozen all the time  	most of the soil is permanently frozen year round  
8259	ando died on january 5   2007 of heart failure in ikeda   osaka prefecture at the age of 96  	he died on january 5   2007 of heart failure in osaka prefecture at the age of 96  	ando died on january 5   2007 of heart failure in ikeda   osaka prefecture at the age of 96  
8260	called chikin ramen   after the original chicken flavor   it was originally considered a luxury item with a price of  35   around six times that of traditional udon and soba noodles at the time  	called chikin ramen   after the original flavor   it was originally considered a luxury food item as it cost around six times that of traditional non instant udon and soba noodles  	called chikin ramen   after the original chicken flavor   it was originally considered a luxury item with a price of  35   around six times that of traditional udon and soba noodles at the time  
