0	it is the county seat of alfalfa county  	it is the county seat of alfalfa county  	it is the county seat of alfalfa county  
7207	therefore   in order to help treat sickness   he pushed for the draining of swamps and the cooling of sickrooms  	so   to help treat sickness   he advocated for the draining of swamps and the cooling of sickrooms  	therefore   in order to help treat sickness   he pushed for the draining of swamps and the cooling of  unk   
7208	rather   he used the ice to cool the ambient room temperature  	instead   he used the ice to cool the room  s temperature  	rather   he used the ice to cool the ambient room temperature  
7209	an alternative system is an aluminum tray with a lever that raises the ice cubes   freeing them from the tray  	another design is an aluminum tray with a lever that raises the ice cubes up   moving them off of the tray  	an alternative system is an aluminum tray with a lever that raises the ice cubes   moving them from the tray  
7210	ice cube trays are designed to be filled with water   then placed in a freezer until the water freezes to ice   producing ice cubes  	ice cube trays are made to be filled with water   then put in a freezer until the water freezes to ice   making ice cubes  	ice cube trays are designed to be filled with water   then placed in a freezer until the water freezes to ice   producing ice cubes  
7211	a motorized version of this is found in most automatic ice making freezers  	a motorized kind of this is in most automatic ice making freezers  	a motorized kind of this is found in most automatic  unk  freezers  
7212	the tray bent sideways to remove the ice cubes  	the tray bent sideways to remove the ice cubes  	the tray bent sideways to remove the ice cubes  
7213	these are commonly referred to as ice tubes  	these are sometimes called ice tubes  	these are commonly called ice tubes  
7214	the death of margaret mary alacoque on october 17   1690   did not dampen the zeal of those interested   on the contrary   a short account of her life published by father croiset in 1691   as an appendix to his book    de la d votion au sacr c    ur      served only to increase it  	the death of margaret mary   october 17   1690   did not dampen the zeal of those interested   on the contrary   a short account of her life published by father croiset in 1691   as an appendix to his book    de la d votion au sacr c    ur      served only to increase it  	the death of margaret mary  unk  on october 17    unk    did not  unk  the way of those interested   on the contrary   a short account of her life published by father  unk  in 1691   as an appendix to his book    de la d  unk  au  unk   unk     ur      served only to increase it  
7215	ice cubes are produced domestically by filling an ice cube tray with water and placing it in a freezer  	ice cubes are made by filling a tray with water and putting it in a freezer  	ice cubes are made by filling an ice cube tray with water and placing it in a freezer  
7216	his refrigerator produced ice which he hung from the ceiling in a basin  	his refrigerator made ice   which he hung from the ceiling in a basin  	his refrigerator produced ice which he hung from the ceiling in a basin  
7217	crushed ice is also used when faster cooling is desired   since the rate of cooling is governed by the number and average radius of the ice particles  	crushed ice is also used when it needs to be made fast   because the speed of cooling depends on the amount and average radius of the ice particles  	crushed ice is also used when faster cooling is desired   since the rate of cooling is governed by the number and average radius of the ice particles  
7218	many freezers also come equipped with an icemaker   which produces ice cubes automatically and stores them in a bin from which they can be dispensed directly into a glass  	many freezers also have an icemaker   icemakers make ice cubes and put them in a bin  	many freezers also come equipped with an  unk    which produces ice cubes automatically and stores them in a bin from which they can be stopped directly into a glass  
7219	an interesting characteristic of commercially made ice cubes is that they are completely clear   lacking the clouding found in the center of domestically made ice cubes  	an unusual thing about commercially made ice cubes is that they are very clear   and do not have the clouding found in home made ice cubes  	an interesting characteristic of commercially made ice cubes is that they are completely clear   lacking the  unk  found in the center of  unk  made ice cubes  
7220	ice cubes are often preferred over crushed ice because they melt more slowly   they are standard in mixed drinks that call for ice   in which case the drink is said to be    on the rocks     	ice cubes are used in mixed drinks   when the drink has the words    on the rocks     	ice cubes are often preferred over crushed ice because they melt more slowly   they are standard in mixed drinks that call for ice   in which case the drink is said to be    on the rocks     
7221	ice cubes are also produced commercially and sold in bulk   these ice cubes   despite their name   are often cylindrical   and may have holes through the center  	these ice cubes are usually cylindrical   and might have holes through the center  	ice cubes are also produced in bulk   these ice cubes   despite their name   are often extended   and may have holes through the center  
7222	having recalled this incident over lunch with his patent attorney   he conducted experiments using rubber cups  	after talking about it with his patent attorney at lunch   he did experiments using rubber cups  	having recalled this incident over lunch with his patent attorney   he conducted experiments using rubber cups  
7223	trays are often flexible   so the frozen cubes can be easily removed by flexing the tray  	trays are often flexible   so the ice cubes can be removed easily by flexing the tray  	trays are often flexible   so the frozen cubes can be easily removed by  unk  the tray  
7224	for a list of institutions named after the sacred heart   see sacred heart  lrb  disambiguation  rrb   	for a list of institutions named after the sacred heart   see sacred heart  lrb  disambiguation  rrb   	for a list of institutions named after the sacred heart   see sacred heart  lrb  disambiguation  rrb   
7225	their silver medal combined with the placement of the other american team earned the united states three spots to the olympics in ice dance   the first time this had happened since 1984  	their silver medal at this competition   along with how well the other american team did   earned the united states three spots on the olympic team  	their silver medal combined with the placement of the other american team earned the united states three spots to the olympics in ice dance   the first time this had happened since 1984  
7226	belbin and agosto went on to win the olympic silver medal in ice dance on february 20   2006   they were the first american ice dance team since 1976   the first year ice dancing was contested at the olympics   to win an olympic medal  	at the 2006 winter olympics   belbin and agosto won the first ice dancing medal  lrb  a silver  rrb  for the united states since 1976  	belbin and agosto went on to win the olympic silver medal in ice dance on february 20   2006  
7227	though they earned silver medals for the united states at the 2005 world figure skating championships   belbin and agosto were originally ineligible to compete at the 2006 winter olympics as belbin was not yet an american citizen  	in 2005   belbin and agosto won their first world medal  	though they earned silver medals for the united states at the end world figure skating championships   belbin and agosto were originally  unk  to compete at the winter olympics as belbin was not yet an american citizen  
7228	benjamin alexandro agosto  lrb  born january 15   1982  rrb  is an american ice dancer  	benjamin alexandro    ben    agosto  lrb  born january 15   1982   in chicago   illinois  rrb  is an american ice dancer  	benjamin  unk   lrb  born january 15   1982  rrb  is an american ice dancer  
7229	belbin and agosto went on to win the olympic silver medal in ice dance on february 20   2006  	in 2005   belbin and agosto won their first world medal   this was the first world medal for the united states in ice dancing in 20 years  	belbin and agosto went on to win the olympic silver medal in ice dance on february 20   2006  
7230	a religious order of the roman catholic church   the order is best known for its missionary work in hawaii  	a religious order of the roman catholic church   the order is best known for its missionary work in hawaii  	a religious order of the roman catholic church   the order is best known for its missionary work in hawaii  
7231	the station is managed by chiltern railways   who provide services along with first great western  	the station is managed by chiltern railways   who provide services along with first great western  	the station is managed by chiltern railways   who provide services along with first great western  
7232	kirriemuir is home to the junior football club kirriemuir thistle   kirriemuir also has a wheeled sports area in martin park  	kirriemuir is a small town in the north east of scotland  	 unk  is a city of iowa in the united states  
7233	antraigues sur volane is a commune in the ard che department in southern france  	antraigues sur volane is a town and commune of the ard che d partement   in the southern part of france  	 unk  is a town in the ard che d partement in southern france  
7234	saba qom football club is a football team based in qom   iran  	saba qom football club is a football team based in qom   iran  	saba qom football club is a football team based in qom   iran  
7235	tomislav mari  lrb  born 28 january 1973  rrb  is a former german born croatian former football striker  	tomislav mari  lrb  born 28 january 1973  rrb  is a former croatian football player  	tomislav  unk   lrb  born 28 january 1973  rrb  is a former croatian football player  
7236	the u s  virgin islands national soccer team   nicknamed the dashing eagle   is the national team of the u s  virgin islands and is controlled by the u s  virgin islands soccer federation  	united states virgin islands national soccer team is the national soccer team of united states virgin islands  	the u s  virgin islands national soccer team is the national soccer team of united states virgin islands  
7237	he was later designated an officer of the new zealand order of merit in 2005    for services to film and the theater     	he was later made an officer of the new zealand order of merit in 2005    for services to film and the theater     	he was later called an officer of the new zealand order of merit in 2005    for services to film and the theater     
7238	upon his death on february 15   1682   there was found in his journal of spiritual retreats a copy in his own handwriting of the account that he had requested of margaret mary   together with a few reflections on the usefulness of the devotion  	at his death   february 15   1682   there was found in his journal of spiritual retreats a copy in his own handwriting of the account that he had requested of margaret mary   together with a few reflections on the usefulness of the devotion  	upon his death on february 15   1682   there was found in his journal of spiritual  unk  a copy in his own handwriting of the account that he had requested of margaret mary   together with a few reflections on the usefulness of the devotion  
7239	they have two sons   jack louis ward hurst   born in 1997   and cameron lane ward hurst   born in 1999  	they have two sons   jack louis ward hurst   born in 1997   and cameron lane ward hurst   born in 1999  	they have two sons   jack louis ward hurst   born in 1997   and cameron lane ward hurst   born in 1999  
7240	in 2003   hurst was awarded an arts foundation of new zealand laureate award  	in 2003   hurst received the laureate award from the arts foundation of new zealand  	in 2003   hurst was awarded an arts foundation of new zealand laureate award  
7241	he is probably best known internationally for playing iolaus in the television programs hercules   the legendary journeys and companion series xena   warrior princess  	he is probably best known for playing iolaus in the television programs hercules   the legendary journeys and xena   warrior princess  	he is probably best known internationally for playing iolaus in the television programs hercules   the legendary journeys and companion   warrior princess  
7242	joseph john    joe    cole  lrb  born 8 november 1981 in london   england  rrb  is an english footballer who plays for liverpool   and the england national team  	joseph john    joe    cole  lrb  born 8 november 1981 in romford   london  rrb  is an english professional football player   cole plays as a midfielder for liverpool of the premier league and the england national team  	joseph smith  lrb  born 8 november 1981  rrb  is an english football player   he plays for liverpool and england national team  
7243	yuki takita  lrb  born may 16   1967 in saitama   japan  rrb  is a japanese former football player   later a coach for yokohama fc  	yuki takita  lrb  born 16 may 1967  rrb  is a former japanese football player  	yuki  unk   lrb  born 16 may 1967  rrb  is a former japanese football player  
7244	his fine historical romance vor dem sturm  lrb  1878  rrb  was followed by a series of novels of modern life   notably l adultera  lrb  1882  rrb    a book about adultery which was considered so risqu that it took fontane two years to find a publisher  	his fine historical novel vor dem sturm  lrb  1878  rrb  was followed by a series of novels of modern life   notably l adultera  lrb  1882  rrb    a book about adultery which was considered so risqu that it took fontane two years to find a publisher  	his fine historical romance  unk  dem sturm  lrb  1878  rrb  was followed by a series of novels of modern life   notably  unk   lrb  1882  rrb    a book about adultery which was considered so  unk  that it took fontane two years to find a publisher  
7245	one particular image has been used as part of a set   along with an image of the blessed virgin mary  	one particular image has been used as part of a set   along with an image of the blessed virgin mary  	one particular image has been used as part of a set   along with an image of the blessed virgin mary  
7246	in his novels frau jenny treibel   irrungen   wirrungen   and effi briest  lrb  1894  rrb    he found his very own tone   yielding insights into the lives of the nobility as well as the    common man      his achievement there was later described as poetic realism  	in his novels frau jenny treibel   irrungen   wirrungen   and effi briest  lrb  1894  rrb    he found his very own tone   he wrote about insights into the lives of the nobility as well as the    common man      his achievement there was later described as poetic realism  	he found his very important tone  
7247	fontane  s first published work   the novella geschwisterliebe  lrb     sibling love     rrb    appeared in the berlin figaro in december 1839  	his first published work   the novella geschwisterliebe  lrb  or    sibling love     rrb    appeared in the berlin figaro in december 1839  	fontane  s first published work   the novella  unk   lrb     sibling love     rrb    appeared in the berlin figaro in december 1839  
7248	he became an apothecary himself   and in 1839   at the age of 20   wrote his first work  lrb  heinrichs iv  	in 1839   at the age of 20   wrote his first work  lrb  heinrichs iv  	he became an apothecary himself   and in 1839   at the age of 20   wrote his first work  lrb   unk  iv  
7249	back in germany   fontane became particularly interested in his home province   the march of brandenburg  	back in germany   fontane became particularly interested in the mark brandenburg region  	back in germany   fontane became particularly interested in his home province   the march of brandenburg  
7250	in order to support his family he took a job as a writer for the prussian intelligence agency zentralstelle f 1  4 r presseangelegenheiten which was meant to influence the press towards the german nationalist cause  	in order to support his family he took a job as a writer for the prussian intelligence agency centralstelle f 1  4 r pre angelegenheiten which was meant to influence the press towards a german national cause  	in order to support his family he took a job as a writer for the prussian intelligence agency  unk  f 1  4 r  unk  which was meant to influence the press towards the german nationalist cause  
7251	fleeing its provincial atmosphere   fontane published articles in the leipzig newspaper die eisenbahn and translated shakespeare  	in this time fontane published articles in the leipzig newspaper die eisenbahn  lrb  railway  rrb  and translated shakespeare  	he published articles in the leipzig newspaper die  unk  and translated shakespeare  
7252	fontane  s books about britain include ein sommer in london  lrb  1854  rrb    aus england   studien und briefe  lrb  1860  rrb  and jenseits des tweed   bilder und briefe aus schottland  lrb  1860  rrb   	his books about britain include ein sommer in london  lrb  1854  rrb    aus england   studien und briefe  lrb  1860  rrb  and jenseits des tweed   bilder und briefe aus schottland  lrb  1860  rrb   	fontane  s books about britain include ein sommer in london  lrb  1854  rrb    aus england    unk  und briefe  lrb  1860  rrb  and  unk  des tweed    unk  und briefe aus  unk   lrb  1860  rrb   
7253	the success of the historical novels of walter scott had helped to make british themes much en vogue on the continent  	at the period   and following the fashion of walter scott   traditional british stories were still en vogue on the continent  	the success of the historical novels of walter scott had helped to make british themes much en vogue on the continent  
7254	as pentecost is always celebrated on sunday   the feast of the sacred heart always falls on a friday  	as pentecost is always celebrated on sunday   the feast of the sacred heart always falls on a friday  	as pentecost is always celebrated on sunday   the feast of the sacred heart always falls on a friday  
7255	in 1849 he quit his job as an apothecary and became a full time journalist and writer  	in 1849 he quit his job as an apothecary and became a full time journalist and writer  	in 1849 he quit his job as an apothecary and became a full time journalist and writer  
7256	he briefly participated in the revolutionary events of 1848  	he was   very short   enganged in the revolutionary events of the revolution of 1848  	he briefly participated in the revolutionary events of 1848  
7257	in 1870   he quit his job at the kreuzzeitung and became drama critic for the liberal vossische zeitung   a position he held until retirement  	in 1870   he quit his job at the kreuzzeitung and became theater critic for the liberal vossische zeitung  lrb  newspaper  rrb    this job he kept until retirement  	in 1870   he quit his job at the  unk  and became drama critic for the liberal  unk  zeitung   a position he held until retirement  
7258	silver also forms a higher fluoride   silver  lrb  ii  rrb  fluoride  	silver  lrb  i  rrb  fluoride is a chemical compound  	silver  lrb  ii  rrb  fluoride is a chemical compound  
7259	his first job as apothecary was in dresden after which he returned to his father  s shop in the provincial town of letschin in the oderbruch region  	his first job as apothecary was in dresden after which he returned to his father  s shop   now in the provincial town of letschin in the oderbruch region  	his first job as apothecary was in dresden after which he returned to his father  s shop in the provincial town of  unk  in the  unk  region  
7260	in 1844 fontane enlisted in the prussian army and set out on the first of numerous journeys to england which fostered his interest in old english ballads   a form he began to imitate  	in 1844 fontane enrolled in the prussian army and set out on the first of many journeys to england   there he learned about old english ballads  	in 1844 fontane enrolled in the prussian army and set out on the first of numerous journeys to england which fostered his interest in old english ballads   a form he began to imitate  
7261	other 3 digit years may be misinterpreted as well   so best practice is to use leading zeros to make a 4 digit year for this date range  	other 3 digit years may be misinterpreted as well   so best practice is to use leading zeros to make a 4 digit year for this date range  	other 3 digit years may be  unk  as well   so best practice is to use leading zeros to make a 4 digit year for this date range  
7262	it is very unusual for people to mention such dates so long ago   so when we really mean this date   we must specify a 4 digit date  	it is very unusual for people to mention such dates so long ago   so when we really mean this date   we must specify a 4 digit date  	it is very unusual for people to mention such dates so long ago   so when we really mean this date   we must specify a 4 digit date  
7263	background   there is a good rationale for the behavior of the system function which actually does the hard work of this template  	background   there is a good rationale for the behavior of the system function which actually does the hard work of this template  	background   there is a good  unk  for the behavior of the system function which actually does the hard work of this template  
7264	these templates are an alternative to the    and    templates that also emit microformats but require dates to be expressed in standard   unambiguous and international iso syntax  	these templates are an alternative to the    and    templates that also emit microformats but require dates to be expressed in a special number oriented syntax  	these templates are an alternative to the    and    templates that also emit microformats but require dates to be expressed in standard   fiddler and international iso syntax  
7265	bce  lrb  required for bce dates  rrb  set to yes if the date is bc  	bce  lrb  required for bce dates  rrb  set to yes if the date is bc  	bce  lrb  required for bce dates  rrb  set to yes if the date is bc  
7266	timezone  lrb  required if timezone information specified  rrb  set to yes if the time is utc or if the location   timezone   or timezone offset is specified  	timezone  lrb  required if timezone information specified  rrb  set to yes if the time is utc or if the location   timezone   or timezone offset is specified  	timezone  lrb  required if timezone information specified  rrb  set to yes if the time is utc or if the location   timezone   or timezone offset is specified  
7267	parameter 1  lrb  required  rrb  the date and time to display and to emit as a microformat date  	parameter 1  lrb  required  rrb  the date and time to display and to emit as a microformat date  	parameter 1  lrb  required  rrb  the date and time to display and to emit as a microformat date  
7268	for events where the precise time   day or month is not known   the user may omit these details  	for events where the precise time   day or month is not known   the user may omit these details  	for events where the precise time   day or month is not known   the user may omit these details  
7269	start date  lrb  birth date  rrb  and end date  lrb  death date  rrb  are easy to read    plain text    date and time templates that emit microformat dates for events  	start date  lrb  birth date  rrb  and end date  lrb  death date  rrb  are easy to read    plain text    date and time templates that emit microformat dates for events  	 unk   lrb   unk   rrb  and  unk   lrb   unk   rrb  are easy to read    plain text    date and time templates that emit microformat dates for events  
7270	bot runs may make a conversion of non 4 digit years to 4 digits  lrb  with leading zeros  rrb  in order to refine wikipedia  s quality of microformat dates  	bot runs may make a conversion of non 4 digit years to 4 digits  lrb  with leading zeros  rrb  in order to refine wikipedia  s quality of microformat dates  	bot runs may make a conversion of non 4 digit years to 4 digits  lrb  with leading zeros  rrb  in order to refine wikipedia  s quality of microformat dates  
7271	outside of this period with ambiguous years   users may use free text dates without this restriction  	outside of this period with ambiguous years   users may use free text dates without this restriction  	outside of this period with ambiguous years   users may use free text dates without this restriction  
7272	alvin journeyman  lrb  1995  rrb  is an alternate history  fantasy novel by orson scott card  	alvin journeyman  lrb  1995  rrb  is an alternate history  fantasy book that was written by orson scott card  	alvin journeyman  lrb  1995  rrb  is an alternate history  fantasy book by orson scott card  
7273	frank    dapper dan    daley  lrb  august 22   1909   october 15   1968  rrb  was a professional hockey player who played for the detroit cougars in the national hockey league  	frank    dapper dan    daley  lrb  august 22   1909   october 15   1968  rrb  was a professional hockey player who played for the detroit cougars in the national hockey league  	frank     unk  dan     unk   lrb  august 22   1909   october 15   1968  rrb  was a professional hockey player who played for the detroit cougars in the national hockey league  lrb  nhl  rrb   
7274	sandro chaves de assis rosa    lrb  born may 19   1973 in brazil  rrb  is a brazilian football player  	sandro chaves de assis rosa  lrb  born 19 may 1973  rrb  is a former brazilian football player  	sandro chaves de assis rosa  lrb  born 19 may 1973  rrb  is a brazilian football player  
7275	on this basis   he is sometimes considered a    transformist    and a precursor of darwin  	on this basis   he is sometimes considered a    transformist    and a precursor of darwin  	on this basis   he is sometimes considered a     unk     and a precursor of darwin  
7276	lib ration  lrb  affectionately known as lib  rrb  is a french daily newspaper founded in paris by jean paul sartre and serge july in 1973 in the wake of the protest movements of may 1968  	lib ration  lrb  also called as lib  rrb  is a french daily newspaper founded in paris in 1973 by jean paul sartre  	lib ration  lrb  also called lib  rrb  is a french daily newspaper founded in paris in 1973 in the wake of the protest movements of may 1968  
7277	but as his opinions fluctuated greatly at different periods   and as he does not enter on the causes or means of the transformation of species   i need not here enter on details     	but as his opinions fluctuated greatly at different periods   and as he does not enter on the causes or means of the transformation of species   i need not here enter on details     	but as his opinions fluctuated greatly at different periods   and as he does not enter on the causes or means of the transformation of species   i need not here enter on details     
7278	he was the first person to discuss a large number of evolutionary problems   problems that before buffon had not been raised by anybody     he brought them to the attention of the scientific world  	he was the first person to discuss a large number of evolutionary problems   problems that before buffon had not been raised by anybody     he brought them to the attention of the scientific world  	he was the first person to discuss a large number of evolutionary problems   problems that before buffon had not been raised by anybody     he brought them to the attention of the scientific world  
7279	in the opening volumes of the histoire naturelle buffon questioned the usefulness of mathematics   criticized carl linnaeus  s taxonomical approach to natural history   outlined a history of the earth with little relation to the biblical account   and proposed a theory of reproduction that ran counter to the prevailing theory of pre existence  	in the opening volumes of the histoire naturelle buffon questioned the usefulness of mathematics   criticized carl linnaeus  s taxonomical approach to natural history   outlined a history of the earth with little relation to the biblical account   and proposed a theory of reproduction which ran counter to existing ideas  	in the opening volumes of the  unk   unk  buffon emancipation the usefulness of mathematics   criticized carl linnaeus  s  unk  approach to natural history   outlined a history of the earth with little relation to the biblical account   and proposed a theory of reproduction that ran counter to the bulk theory of  unk   
7280	then   from the fourth edition onwards   he amended this to say that    the first author who in modern times has treated it  lrb  evolution  rrb  in a scientific spirit was buffon  	then   from the fourth edition onwards   he amended this to say that    the first author who in modern times has treated it  lrb  evolution  rrb  in a scientific spirit was buffon  	then   from the fourth edition onwards   he amended this to say that    the first author who in modern times has treated it  lrb  evolution  rrb  in a scientific spirit was buffon  
7281	in les  poques de la nature  lrb  1778  rrb  buffon discussed the origins of the solar system   speculating that the planets had been created by a comet  s collision with the sun  	in les  poques de la nature  lrb  1778  rrb  buffon discussed the origins of the solar system   speculating that the planets had been created by a comet  s collision with the sun  	in les   unk  de la nature  lrb  1778  rrb  buffon discussed the origins of the solar system    unk  that the planets had been created by a comet  s collision with the sun  
7282	basing his figures on the cooling rate of iron tested at his laboratory le petit fontenet at montbard   he calculated that the age of the earth was 75 000 years  	basing his figures on the cooling rate of iron tested at his laboratory le petit fontenet at montbard   he calculated that the age of the earth was 75 000 years  	paramore  s figures on the cooling rate of iron tested at his laboratory le petit  unk  at  unk    he calculated that the age of the earth was 75 000 years  
7283	more than anyone else   he was responsible for the acceptance of a long time scale for the history of the earth  	more than anyone else   he was responsible for the acceptance of a long time scale for the history of the earth  	more than anyone else   he was responsible for the acceptance of a long time scale for the history of the earth  
7284	it has been said that    truly   buffon was the father of all thought in natural history in the second half of the 18th century     	   truly   buffon was the father of all thought in natural history in the second half of the 18th century     	it has been said that    truly   buffon was the father of all thought in natural history in the second half of the 18th century     
7285	the north fork of the clearwater river runs 2 m downstream from the base of the dam   where it joins the main clearwater   which flows into the snake river at lewiston   and into the columbia at burbank   washington   the dworshak dam and reservoir civil works project includes dworshak dam   the reservoir and surrounding corps managed lands   powerhouse   recreation facilities   wildlife mitigation and dworshak national fish hatchery  	dworshak dam is a dam in clearwater county   idaho  	the north fork of the pchl river runs 2 m downstream from the base of the dam   where it joins the main reddish brown   which flows into the snake river at artemisium   and into the columbia at burbank   washington  
7286	carl michael edwards   ii  lrb  born august 15   1979  rrb  is an american nascar sprint cup series and nationwide series driver for roush fenway racing  	carl michael edwards   ii  lrb  born august 15   1979  rrb  is an american racecar driver who drives the   99 aflac ford fusion for roush fenway racing in the nascar sprint cup series   edwards was the 2007 nationwide series  	carl michael edwards   ii  lrb  born august 15   1979  rrb  is an american racecar driver  
7287	vegalta sendai is a japanese professional football  lrb  soccer  rrb  club   currently playing in j  league division 1   the team is located in sendai   miyagi prefecture  	vegalta sendai is a football club which plays in japan  	vegalta sendai is a football club which plays in japan  
7288	some of these contributions are from members who live in oil rich countries  	some of these contributions are from members who live in oil rich countries  	some of these contributions are from members who live in oil rich countries  
7289	the group is the world  s oldest and largest islamic political group   and the    world  s most influential islamist movement     	the group is the world  s oldest and largest islamic political group   and the    world  s most influential islamist movement     	the group is the world  s oldest and largest islamic political group   and the    world  s most influential  unk  movement     
7290	the brotherhood is financed by contributions from its members   who are required to allocate a portion of their income to the movement  	the brotherhood is financed by contributions from its members   who are required to allocate a part of their income to the movement  	the brotherhood is marketed by contributions from its members   who are required to allocate a portion of their income to the movement  
7291	fl chin is a commune in the pas de calais department in the nord pas de calais region of france  	fl chin is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  	fl chin is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  
7292	using its usb 2 0 connection   the vision camera is compatible with windows xp service pack 2  lrb  32 bit only  rrb    windows vista  lrb  32 bit and 64 bit  rrb    and windows 7  lrb  32 bit and 64 bit   although 64 bit is not confirmed by microsoft  rrb    because the vision camera lacks audio input   a microphone must also be connected to the computer for voice chat and audio recording  	the vision camera is compatible with windows xp service pack 2 using usb 2 0 connection  	using its usb 2 0 connection   the vision camera is compatible with windows xp service pack 2  lrb  32 only  rrb    windows vista  lrb  32 and 64 bit  rrb    and windows 7  lrb  32 and 64 bit   although 64 bit is not confirmed by microsoft  rrb   
7293	drivers are not included with the vision camera but can be downloaded automatically by windows when prompted  	drivers are not included with the vision camera    you must allow windows to download them automatically when prompted  	drivers are not included with the vision camera but can be downloaded automatically by windows when prompted  
7294	the vision camera works in ichat   photo booth   facetime for mac   and other applications that use quicktime for video display   such as skype  	they work in ichat   photo booth and other applications that use quicktime for video display   such as skype  	the vision camera works in  unk    photo booth    unk  for mac   and other applications that use  unk  for video display   such as skype  
7295	mac os x 10 4 9 added support for the usb    video class    group of peripherals   which includes the vision camera  	mac os x 10 4 9 added support for the usb    video class    group of peripherals   including vision camera  	mac os x  unk  added support for the usb    video class    group of peripherals   which includes the vision camera  
7296	it allows for video chat and picture messages using an xbox live gold subscription with video effects along with in game compatibility  	it allows for video chat and picture messages using an xbox live gold subscription with video effects along with in game compatibility  	it allows for video chat and picture messages using an xbox live gold subscription with video effects along with in game compatibility  
7297	beaurains is a commune in the pas de calais department in the nord pas de calais region of france  	beaurains is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  	 unk  is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  
7298	playstation 3 system software  lrb  firmware  rrb  version 1 54 added support for    video class    usb devices   allowing use of the vision camera   as well as webcams and other similar devices  	the vision camera is also compatible with sony  s playstation 3  lrb  requires firmware 1 54  rrb   	playstation 3 system software  lrb   unk   rrb  version  unk  added support for    video class    usb devices   allowing use of the vision camera   as well as hay like and other similar devices  
7299	the xbox live vision camera was announced at e3 2006 and released in north america on september 19   2006   following a 1 month pre launch period in which toys    r    us stores in new york city and los angeles sold them to build up hype  	the xbox live vision camera was announced at e3 2006 and released in north america on september 19 2006   following a 1 month pre launch period in which toys    r    us stores in new york city and los angeles sold them to build up hype  	the xbox live vision camera was announced at  unk  2006 and released in north america on september 19   2006   following a  unk   unk  period in which toys    r    us stores in new york city and los angeles sold them to build up  unk   
7300	the camera uses a standard usb 2 0 connection and is also windows  lrb  xp and newer  rrb  and mac os x  lrb  v10  4 9 and newer  rrb  compatible  	the camera uses a standard usb 2 0 connection and is also windows  lrb  xp and newer  rrb  and mac os x  lrb  v10  4 9 and newer  rrb  compatible  	the camera uses a standard usb 2 0 connection and is also windows  lrb  xp and newer  rrb  and mac os x  lrb  v10  unk  and newer  rrb  compatible  
7301	mark boal  lrb  born 1973  rrb  is an american journalist   screenwriter and film producer  	mark boal  lrb  born 1973 in new york  rrb  is an american journalist   screenwriter and film producer  	mark  unk   lrb  born 1973  rrb  is an american journalist   screenwriter and film producer  
7302	he won academy awards for best original screenplay and best picture for the hurt locker  lrb  2009  rrb   	boal won 2 academy awards in 2009 for the hurt locker in the categories of best writing  lrb  original screenplay  rrb  and best picture  	he won academy awards for best original screenplay and best picture for the hurt locker  lrb  2009  rrb   
7303	the novel remains widely read and controversial   selling around 250 000 copies a year  	the novel remains widely read   selling around 250 000 copies a year  	the novel remains widely read and controversial   selling around 250 000 copies a year  
7304	in 1948 he published the critically acclaimed story    a perfect day for bananafish    in the new yorker magazine   which became home to much of his subsequent work  	in 1948 he published the story    a perfect day for bananafish    in the new yorker magazine   which also published most of his following work  	in 1948 he published the critically story    a perfect day for  unk     in the new yorker magazine   which became home to much of his subsequent work  
7305	jerome david salinger  lrb      january 1   1919     january 27   2010  rrb  was an american author   best known for his 1951 novel the catcher in the rye   as well as his reclusive nature  	jerome david salinger  lrb  born january 1   1919    died january 27   2010  rrb  was an american author   best known for his 1951 novel the catcher in the rye  	jerome david salinger  lrb  january 1   1919     january 27   2010  rrb  was an american author  
7306	they can also be eaten raw   though this is not recommended for people who may be especially susceptible to salmonella   such as the elderly   the infirm   or pregnant women  	roasted eggs are used at the jewish holiday of passover eating raw eggs is not recommended for people who may be likely to catch to salmonella   such as the elderly   the infirm   or pregnant women  	they can also be eaten raw   though this is not recommended for people who may be especially susceptible to salmonella   such as the elderly   the  unk    or pregnant women  
7307	in 1951 salinger released his novel the catcher in the rye   an immediate popular success  	in 1951 salinger   released his first novel   the catcher in the rye   an immediate popular success  	in 1951 salinger released his novel the catcher in the rye   an immediate popular success  
7308	the anguilla national football team is the national team of anguilla and is controlled by the anguilla football association  	anguilla national football team is the national football team of anguilla  	anguilla national football team is the national football team of anguilla  
7309	a tiny  lrb  under 1 mm  rrb    soft bodied wingless psocoptera  lrb  usually trogium pulsatorium  rrb    that actually feeds on microscopic molds and other organic matter found in ill maintained works  lrb  e g    cool   damp   dark   and undisturbed areas of archives   libraries   and museums  rrb    although they will also attack bindings and other book parts  	a tiny  lrb  under 1 mm  rrb    soft bodied wingless psocoptera  lrb  usually trogium pulsatorium  rrb    the insect actually feeds on molds and other organic matter found in ill maintained works   but they will also attack bindings and other parts  	a tiny  lrb  under 1 mm  rrb    satya wingless  unk   lrb  usually  unk   unk   rrb    that actually feeds on microscopic  unk  and other organic matter found in  unk  works  lrb  e g    cool   damp   dark   and enhance areas of archives   libraries   and museums  rrb    although they will also attack  unk  and other book parts  
