0	it is the county seat of alfalfa county  	it is the county seat of alfalfa county  	there is a county seat of alfalfa county   county   county   united states  
7518	a few weeks later   he was overthrown in a bloodless coup d   tat by general ayub khan   who then declared himself president  	a few weeks later   he was overthrown by general ayub khan   who then declared himself president  	a few weeks later   he was overthrown by general two tier khan   who then declared himself president  
7519	according to the constitution   the president is chosen by the electoral college to serve a five year term  	according to the constitution   the president is chosen by the electoral college to serve a five year term  	according to the constitution   the president is chosen by the electoral college to serve a five year term  
7520	the effects produced by bzp are comparable to those produced by amphetamine  	the effects produced by bzp are comparable to those produced by amphetamine  	the effects produced by bzp are comparable to those produced by agnostic  
7521	adverse effects have been reported following its use including acute psychosis   renal toxicity   and seizures  	side effects include acute psychosis   problems with the kidneys adverse effects have been reported following its use including acute psychosis and seizures  	side effects include acute psychosis   psychiatric kidney and spicy  
7522	benzylpiperazine  lrb  bzp  rrb  is a recreational drug with euphoric   stimulant properties  	benzylpiperazine   commonly referred to as bzp is an recreational drug  	benzylpiperazine   commonly referred to as bzp is an recreational drug  
7523	no deaths have been reported following a sole ingestion of bzp   although there have been at least two deaths from the combination of bzp and mdma  	it does not appear to be very addictive and no deaths have been reported following taking bzp once   there have been at least two deaths which resulted from the combination of bzp and mdma  	it does not appear to be addictive and no deaths have been reported following taking bzp once there have been at least two deaths which resulted from the combination of bzp and mdma  
7524	in 2006   a study showing that the malaria mosquito  lrb  anopheles gambiae  rrb  is attracted equally to the smell of limburger and to the smell of human feet earned the ig nobel prize in the area of biology  	in 2006 a study showing that the malaria mosquito  lrb  anopheles gambiae  rrb  is attracted equally to the smell of limburger and to the smell of human feet earned the ig nobel prize in the area of biology  	in 2006 a study showing that the malaria mosquito  lrb  6 5 gambiae  rrb  is attracted equally to the smell of limburger and to the smell of human feet earned the ig nobel prize in the area of biology  
7525	limburger is a cheese that originated in the historical duchy of limburg   which is now divided among modern day netherlands   belgium   and germany  	limburger cheese is a cheese made from cows   milk   its name comes from the duchy of limburg   which is divided between holland   belgium and germany today  	limburger cheese is a large   cheese that formed in holland   belgium  
7526	the city suburbs extend out into the surrounding valleys and hills   onto the isthmus of the otago peninsula   and along the shores of the otago harbour and the pacific ocean  	the city stands on the hills and valleys surrounding the head of otago harbour  	the city stands on the hills and valleys surrounding the head of otago harbour  
7527	milena leticia roucka  lrb  born october 25   1979  rrb  is a canadian professional wrestler and former model of czech and costa rican descent   she is signed to world wrestling entertainment  lrb  wwe  rrb    and works as rosa mendes on the smackdown brand  	milena leticia roucka  lrb  born october 25   1979 in vancouver   british columbia  rrb  is a canadian professional wrestler and former model currently wrestling for wwe on its smackdown brand under the ring name   rosa mendes  	milena leticia roucka  lrb    born 25 october 1979  rrb  is a canadian professional wrestler and former model  
7528	since 2004   the festival has taken place in the town of kostrzyn nad odr	the festival has been held in the town of kostrzyn nad odr	the festival has been held in the town of kostrzyn nad odr   in the town of kostrzyn nad odr   the festival has been held in the town of linkebeek nad odr  
7529	the festival  s motto is    love   friendship   and music     	its motto is    love   friendship and music     	its motto is    love   friendship and music     
7530	przystanek woodstock  lrb  polish for    woodstock bus stop      english language materials often refer simply to the woodstock festival  rrb  is an annual free rock music festival in poland   inspired by and named for the woodstock festival   that has taken place since 1995   since the 11th festival   its organizers have called przystanek woodstock    the biggest open air festival in europe     	the festival is named for and was inspired by the woodstock festival  lrb  przystanek woodstock is polish for woodstock gathering  rrb   	the festival is named for and was inspired by the woodstock festival  lrb  przystanek woodstock is polish for woodstock gathering  rrb   
7531	the director of the ngv canceled the show   allegedly out of concern for a rembrandt exhibition that was also on display at the time  	the director of the ngv then canceled the show  	the director of the ngv then canceled the show  
7532	the piece was a winner of the southeastern center for contemporary art  s    awards in the visual arts    competition   which is sponsored in part by the national endowment for the arts   a united states government agency that offers support and funding for artistic projects  	the piece won the southeastern center for contemporary art  s    awards in the visual arts    competition   this contest gets some of its money from the national endowment from the arts   a united states government group that gives money to art projects  	the piece won the southeastern center for contemporary arts  s    awards in the visual arts    competition   a united states government group that gives money to art projects  
7533	during a retrospective of serrano  s work at the national gallery of victoria in 1997   the then catholic archbishop of melbourne   george pell   sought an injunction from the supreme court of victoria to restrain the national gallery of victoria from publicly displaying piss christ   which was not granted  	during a showing of serrano  s works at the national gallery of victoria  lrb  ngv  rrb  in 1997   then archbishop george pelli tried to get the supreme court of victoria to stop the gallery from showing the work  	during a showing of serrano  s works at the national gallery of victoria  lrb  ngv  rrb  in 1997   he archbishop george pelli tried to get the supreme court of victoria to stop the post from showing the work  
7534	some grammatical elements peculiar to persian   such as the enclitic ez fe   and the use of the takhallus   were readily absorbed into urdu literature both religious and secular  	some grammatical elements peculiar to persian   such as the enclitic ez fe   and the use of the takhallus   were readily absorbed into urdu literature both religious and secular  	some grammatical elements peculiar to persian   such as the enclitic ez 1453   and the use of the takhallus   were readily absorbed into urdu literature both religious and secular  
7535	some days later   one patron attempted to remove the work from the gallery wall   and two teenagers later attacked it with a hammer  	a few days later   one visitor tried to take the work off of the gallery wall   and two teenagers later attacked the work with a hammer  	a few days later   one visitor tried to take the work off the gallery wall   and two teenagers later attacked the work with a hammer  
7536	the piece caused a scandal when it was exhibited in 1989   with detractors   including united states senators al d amato and jesse helms   outraged that serrano received   15 000 for the work   part of it from the taxpayer funded national endowment for the arts  	the photo caused some dispute when it was first shown in 1989   some people who were against the photo   including united states senators al d amanto and jesse helms were upset that serrano was given   15 000 for the work  	the photo caused some dispute when it was first shown in 1989  
7537	supporters argued that the controversy over piss christ is an issue of artistic freedom and freedom of speech  	supporters of the work said the piss christ is an issue of artistic freedom and freedom of speech  	supporters of the work said the piss christ is an issue of artistic freedom and freedom of speech  
7538	it depicts a small plastic crucifix submerged in a glass of the artist  s urine  	the picture is of a small plastic crucifix that is in a glass of serrano  s urine  	the picture is of a small plastic device that is in a glass of serrano  s urine  
7539	sister wendy beckett   an art critic and catholic nun   stated in a television interview with bill moyers that she regarded the work as not blasphemous but a statement on    what we have done to christ      that is   the way contemporary society has come to regard christ and the values he represents  	sister wendy beckett   an art critic and catholic nun   said in a television interview with bill moyers that she did not think the work was blasphemous   she thought that it was but a statement on    what we have done to christ   	sister wendy beckett   an art critic and catholic nun   said in a television interview with bill moyers that she did not think the work was chopstick  
7540	it is bordered by the cities of seattle on the west   bellevue and kirkland on the east   renton on the south and kenmore on the north   and surrounds mercer island  	seattle is on the west side of the lake   lake city   bothell   and kenmore to the north   kirkland and bellevue to the east   and renton to the south   mercer island is in the south end of the lake  	seattle is located on the west side of the lake   lake city   bothell to the north  
7541	a famous cross over writer was amir khusro   whose persian and urdu couplets are to this day read in south asia  	a famous cross over writer was amir khusro   whose persian and urdu couplets are to this day read in south asia  	a famous cross over writer was baba khusro   whose persian and urdu couplets are to this day  
7542	freedom of the city is an honor bestowed by some municipalities in australia   canada   ireland   france   italy   new zealand   south africa   spain   the united kingdom   and zimbabwe to esteemed members of its community or to organizations that have given the community heroic service   the term applies to two separate honors   one civilian and one military  	freedom of the city is an honor given by some municipalities in australia   canada   ireland   france   italy   new zealand   south africa   the united kingdom   and zimbabwe to esteem members of its community or to organizations that have given the community heroic service  	freedom of the city is an honor given by some municipalities in australia   canada   france   italy   italy   south africa   south africa   the united kingdom   and zimbabwe to esteem  
7543	ytres is a commune in the pas de calais department in the nord pas de calais region of france  	ytres is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  	ytres is a commune in the pas de calais department in the nord pas de calais region of france  
7544	norman mack    norm    van brocklin  lrb  march 15   1926    may 2   1983  rrb    nicknamed    the dutchman      was an american football player and coach  	norm van brocklin  lrb  march 15   1926     may 2   1983  rrb  was an american football coach for the atlanta falcons  	norm van brocklin  lrb  march 15   1926     may 2   1983  rrb  was an american football coach for the atlanta falcons  
7545	besides the ferry crossings listed   there are commuter boat services operating along the river in london   and tourist boat services operating both in london and upstream  	besides the ferry crossings listed   there are commuter boat services along the river in london   and tourist boat services running both in london and upstream  	besides the ferry crossings   there are commuter boat services along the river in london   and tourist boat services running both in london and upstream  
7546	whilst the principal purpose of these services is not to carry people across the river   it may be possible to use them to do so  	although the main purpose of these services is not to carry people across the river   it may be possible to use them to do so  	although the main purpose of these services is not to carry people across the river   it may be possible to use them to do so  
7547	see korean demilitarized zone   vietnamese demilitarized zone   ben hai river   hien luong bridge	the most famous demilitarized zone is the korean demilitarized zone on the land between north korea and south korea   no one can go into the demilitarized zone   so the wildlife is well preserved  	the most famous demilitarized zone is the korean demilitarized zone on the land between north korea and south korea  
7548	bill bixby  lrb  january 22   1934     november 21   1993  rrb  was an american film and television actor   director   and frequent game show panelist  	bill bixby born january 22   1934 in san francisco   california   u s    november 21   1993 in california   u s    was an american actor director and producer  	bill bixby born january 22   1934 in san francisco   california   u s    november 21   1993 in california   u s    was an american actor and producer  
7549	plant propagation is the process of creating new plants from a variety of sources   seeds   cuttings   bulbs and other plant parts   plant propagation can also refer to the artificial or natural dispersal of plants  	plant propagation is when a plant is distributed  	a plant is distributed by the   plant  
7550	adam david vernon foote  lrb  born july 10   1971  rrb  is a canadian professional ice hockey defenceman and captain of the colorado avalanche of the national hockey league  lrb  nhl  rrb   	adam david vernon foote  lrb  born july 10   1971 in whitby   ontario  rrb  is a retired professional canadian ice hockey defenceman that played 20 seasons in the national hockey league  lrb  nhl  rrb  most notably with the quebec nordiques  colorado avalanche orginazations  	adam david vernon foote  lrb  born july 10   1971  rrb  is a retired professional ice hockey defenceman that played 20 seasons in the national hockey league  lrb  nhl  rrb  most notably with the quebec nordiques  colorado avalanche orginazations  
7551	toru sano is a former japanese football player  	toru sano  lrb  born november 1963  rrb  is a former japanese football player  	toru sano is a former japanese football player  
7552	bodies which fulfill the first two conditions but not the third  lrb  such as pluto   makemake and eris  rrb  are classified as dwarf planets   provided they are not also natural satellites of other planets  	there are four more known dwarf planets   ceres   makemake   eris and haumea  	there are four more known dwarf planets   ceres   initially   eris and haumea  
7553	despite the heavy influence of persian on urdu   linguistically   urdu is not classified as an iranian language  lrb  as is persian  rrb  but rather as an indo aryan language  lrb  like hindi   gujarati   bengali   punjabi   seraiki and sindhi  rrb   	despite the heavy influence of persian on urdu   linguistically   urdu is not classified as an iranian language  lrb  as is persian  rrb  but rather as an indo aryan language  lrb  like punjabi   gujarati   punjabi   seraiki and sindhi  rrb   	despite the heavy influence of persian on urdu   linguistically   urdu is not classified as an iranian language  lrb  as is persian  rrb  but rather as an indo aryan language  lrb  like punjabi   gujarati   punjabi   seraiki and sindhi  rrb   
7554	port is a commune in the ain department in eastern france  	port is a commune   it is found in the region rh ne alpes in the ain department in the east of france  	port is a commune in the ain department in the rh ne alpes region in eastern france  
7555	it may have been created by a major impact   which caused the moon to disrupt and reassemble   or by the crust rifting  	it may have been created by a major impact   which caused the moon to disrupt and reassemble   or by the crust rifting  	it may have been created by a major impact   which caused the moon to disrupt and reassemble   or by the crust rifting  
7556	the cliff face has been estimated to be from 5 kilometers  lrb  3 mi  rrb  to 10 kilometers  lrb  6 2 mi  rrb  high   which makes it the tallest known cliff in the solar system  	the cliff has been estimated at 5 kilometers  lrb  3 mi  rrb  and 20 kilometers  lrb  12 4 mi  rrb  high   making it the tallest known cliff in the solar system  	the tower has been estimated at 5 kilometers  lrb  3 mi  rrb  and 20 km  lrb  13 11 04 mi  rrb  high   making it the tallest known cliff in the solar system  
7557	william john paul    liam    gallagher  lrb  born 21 september 1972  rrb  is an english musician and singer songwriter   the frontman formerly of the 1990s britpop band oasis and currently of the band beady eye  	william john paul    liam    gallagher  lrb  born 21 september 1972  rrb  is an english musician and songwriter best known as a singer in the rock band oasis  	william john paul    liam    gallagher  lrb  born 21 september 1972 in oasis   england  rrb  is an english musician who is a member of the band oasis  
7558	agriculture and the building trades are the primary sources of employment in the town  	agriculture and the building trades are the primary sources of employment in the town  	agriculture and the building trades are the primary sources of employment in the town  
7559	luigi di biagio  lrb  born june 3   1971  rrb    is an italian former football defensive midfielder   who last played for ascoli calcio 1898  lrb  2006     07  rrb   	luigi di biagio  lrb  born 3 june 1971  rrb  is a former italian football player  	luigi di biagio  lrb  born 3 june 1971  rrb  is an italian retired footballer  
7560	flamsteed designations for stars are similar to bayer designations   except that they use numbers instead of greek letters  	flamsteed designations are for stars that are similar to bayer designations   however   they use numbers instead of greek letters  	flamsteed dynasties are for a class that are similar to bayer designations   but they use numbers instead of greek letters  
7561	there are examples of stars bearing flamsteed designations for constellations in which they do not lie   just as there are for bayer designations   because of the compromises that had to be made when the modern constellation boundaries were drawn up   there are examples of stars bearing flamsteed designations for constellations in which they do not lie   just as there are for bayer designations   because of the compromises that had to be made when the modern constellation boundaries were drawn up  	flamsteed designations are for stars that are similar to bayer designations  	flamsteed lied are for stars that are similar to bayer designations  
7562	the greater hyderabad municipal corporation earlier known as the mch is the urban planning agency that oversees hyderabad   the capital and largest city in the indian state of andhra pradesh  	the greater hyderabad municipal corporation  lrb  abbreviated to ghmc  rrb  is an urban planning agency that oversees hyderabad   india  	the greater hyderabad municipal corporation  lrb  abbreviated to ghmc  rrb  is an urban planning agency that oversees hyderabad and kashmir  
7563	the greater hyderabad municipal corporation  lrb  ghmc  rrb  comprises the erstwhile hyderabad municipal corporation   plus 10 municipalities   8 panchayats in ranga reddy district and 2 municipalities in medak district  	the greater hyderabad municipal corporation  lrb  abbreviated to ghmc  rrb  is an urban planning agency that oversees hyderabad   india   the greater hyderabad municipal corporation is also the local government for the city of hyderabad  	the greater hyderabad municipal corporation  lrb  abbreviated to ghmc  rrb  is an urban planning agency that oversees hyderabad and kashmir  
7564	it grew from the interaction of persian and turkic speaking muslim soldiers and the native peoples  	it grew from the interaction of persian and turkic speaking muslim soldiers and the native peoples  	it grew from the interaction of persian and turkic speaking muslim soldiers and the native peoples  
7565	the black capped chickadee has a black cap and bib with white sides to the face  	the back of the body of the black capped chickadee is gray  	the back of the body chickadee is is gray  
7566	in october 1997 r  j  rummel published a book   which is available on the web   titled statistics of democide   genocide and mass murder since 1900   in chapter 8   statistics of pakistan  s democide   estimates   calculations   and sources   he states  	in 1997 r  j  rummel wrote a book called statistics of democide   genocide and mass murder since 1900   in chapter 8 called statistics of pakistan  s democide   estimates   calculations   and sources he says   in east pakistan  lrb  now bangladesh  rrb   lrb  general agha mohammed yahya khan and his top generals  rrb  also planned to murder its bengali intellectual   cultural   and political elite  	in 1997 r  j  rummel wrote a book called commons of democide   genocide and mass murder since 1900   in chapter 8 called statistics of pakistan  lrb  general agha mohammed yahya khan  rrb   
7567	the university is named after dr  horace brinsmade silliman   a retired businessman and philanthropist from cohoes   new york who gave the initial sum of   10 000 to start the school  	on the other hand   the one who gave the money to start it was horace brinsmade silliman   a businessman from cohoes   new york  	on the other hand   the one who gave the money to start it was horace brinsmade silliman   a businessman from cohoes   new york  
7568	urdu soon gained distinction in literary and cultural spheres because of the hybrid nature of the language  	urdu soon gained distinction in literary and cultural spheres because of the hybrid nature of the language  	urdu shortly gained distinction with cultural spheres of the language  
7569	programs in the undergraduate and graduate levels cover various disciplines such as accountancy   business administration   engineering   information technology   law   medicine   nursing   biology   chemistry   education   marine sciences   physics   theology   philosophy   psychology   and public administration  	in college   silliman teaches many things such as accountancy   business administration   engineering   information technology   law   medicine   nursing   biology   chemistry   education   marine sciences   physics   theology   philosophy   psychology   and public administration among others  	in college   silliman addresses many things such as accountancy   business administration   engineering   information technology   law   medicine   nursing   medicine   philosophy   medicine   philosophy   economics   economics   and public administration among others  
7570	assisting the vps for academic affairs and finance are the different deans   directors   department chairpersons   coordinators and unit heads of the different colleges   schools   institutes   units   research centers   programs and extension projects of the university  	since these persons also have a lot of things to do and think about   they are also assisted by other people called deans   directors   department chairpersons   coordinators and unit heads of the different colleges   schools   institutes   units   research centers   programs and extension projects of the university  	since these persons also have a lot of things to do and think about   they are also assisted by other people  
7571	silliman offers programs in the early childhood   elementary   secondary   undergraduate and graduate levels  	silliman offers early childhood   elementary   high school   and college education  	silliman offers early childhood   elementary   high school   and college education  
7572	it has a land area of 29 hectares   and houses the college of agriculture complex   the silliman farm   a number of dormitories  lrb  known as the cocofed dormitories  rrb  and the marine laboratory  	it has a farm   a place for students to live in called dormitories   and other buildings of the college of agriculture   located beside the college is the marine laboratory and the silliman beach  	it has a farm for students to live in dormitories   and other buildings of the college of agriculture  
7573	fiennes is a commune in the pas de calais department in the nord pas de calais region of france  	fiennes   pas de calais is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  	fiennes is a commune in the pas de calais department in the nord pas de calais region of france  
7574	the minnesota twins are an american professional baseball team based in minneapolis   minnesota  	the minnesota twins are a major league baseball team in minneapolis   minnesota  	the minnesota twins are a major league baseball team based in minneapolis   minnesota  
7575	the supercopa de espa a  lrb  spanish supercup  rrb  is a spanish football championship contested by the winners of la liga and the copa del rey  	the supercopa de espa a is a two leg spanish football championship contested by the winners of the la liga and the copa del rey  	the supercopa de espa a is a spanish footballer contested by the french national football team  
7576	hayuma tanaka  lrb    born july 31   1982 in matsumoto   nagano   japan  rrb  is a japanese football player  	hayuma tanaka  lrb  born 31 july 1982  rrb  is a japanese football player  	hayuma tanaka  lrb  born july 31   1982  rrb  is a japanese football player  
7577	these dates conventionally delimit the period of each year when most tropical cyclones form in the eastern pacific basin  	these dates conventionally delimit the period of each year when most tropical cyclones form in the eastern pacific basin  	these dates conventionally delimit the period of each year when most tropical cyclones form in the eastern pacific basin  
7578	andernos les bains is a commune in the gironde department in south western france  	andernos les bains is a commune  	andernos les bains is a commune in the ain department in eastern france  
7579	the strongest hurricane of the season was hurricane ioke   which formed on august 20 far to the south of hawaii  	it formed on august 20   ioke rapidly became a major hurricane 36 hours later  	it became a major hurricane on august 20   and ioke became a major hurricane 36 hours later  
7580	the strongest storm of the season was hurricane ioke   which reached category 5 status on the saffir simpson scale in the central pacific ocean   ioke passed near johnston atoll and later wake island   where it caused heavy damage but no deaths  	it also caused heavy rain in alaska   ioke is the most intense storm ever in the central pacific and the only category 5 storm that formed in the basin  	it was released in the spring of 2002 and is the most intense storm ever in the central pacific and the only category 5 storm in the basin  
7581	in august   hurricane flossie formed in the eastern pacific and crossed into the central pacific   threatening hawaii but causing little damage  	in august   hurricane flossie formed in the eastern pacific and crossed into the central pacific   threatening hawaii but causing little damage  	in august   hurricane flossie formed in the eastern pacific and crossed into the central pacific   threatening hawaii but causing little damage  
7582	in early september   hurricane henriette dropped heavy rainfall in southwest mexico   which caused nine fatalities and   25 million  lrb  2007 usd  rrb  in damage  	in early september   hurricane henriette dropped heavy rainfall in southwest mexico   which caused nine fatalities and   25 million  lrb  2007 usd  rrb  in damage  	in early september   hurricane henriette dropped heavy rainfall in southwest mexico   which caused nine fatalities and   25 million  lrb  2007 usd  rrb  in damage  
7583	the season began slowly   through the end of july   the seasonal ace was the third lowest since the geostationary satellite era began in 1966  	the season began slowly   through the end of july   the seasonal ace was the third lowest since the geostationary satellite era began in 1966  	the season began slowly   through the end of july   the seasonal ace was the third lowest since the geostationary satellite era began in 1966  
7584	the 2007 pacific hurricane season was an event in the annual cycle of tropical cyclone formation  	the 2007 pacific hurricane season was an event in the annual cycle of tropical cyclone formation  	the 2007 pacific hurricane season was an event in the annual cycle of tropical cyclone formation  
7585	tropical storm barbara in june caused   55 million  lrb  2007 usd  rrb  in crop damage in southeastern mexico from heavy precipitation  	tropical storm barbara in june caused   55 million  lrb  2007 usd  rrb  in crop damage in southeastern mexico from heavy precipitation  	tropical storm barbara in june 2007 over   55 million  lrb  2007 usd  rrb  in 1811 damage in southeastern mexico from heavy precipitation  
7586	the inactivity continued through the next month   which was the third quietest august in terms of ace since reliable records began in the basin in 1971  	the inactivity continued through the next month   which was the third quietest august in terms of ace since reliable records began in the basin in 1971  	the wikipedians continued through the next month   which was the third quietest august in terms of ace since reliable records began in the basin in 1971  
7587	these dates conventionally delimit the period of each year when most tropical cyclones form in the pacific basin  	these dates conventionally delimit the period of each year when most tropical cyclones form in the pacific basin  	these dates conventionally delimit the period of each year when most tropical cyclones form in the pacific basin  
7588	at 995 feet  lrb  303 m  rrb  tall   it is currently the sixth tallest building in chicago and the thirteenth tallest in the united states  	it is 303 meters  lrb  995 feet  rrb  tall and has 64 floors  	it is 303 meters  lrb  995 feet  rrb  tall and has 64 floors that has 64 floors  
7589	adult males have a large and fleshy nose which overhangs its mouth   but the female proboscis monkey does not have a large nose in comparison to the male  	the proboscis mae monkey is known for its very unique   large floppy nose   and the name is taken from the nose   as well  	the proboscis mae monkey   or is   is a large device that is used in the nose   as well as the    
7590	the proboscis monkey  lrb  nasalis larvatus  rrb    known as the bekantan in malay   or simply the long nosed monkey  	the proboscis monkey is found only on the island of borneo in southeast asia   they are the only member species nasalis larvatus of the nasalis genus  	a proboscis monkey   is a reference to the island of borneo in southeast asia   the only member species nasalis larvatus of the nasalis genus  
7591	there are web sites dedicated to communicating about homework   for teachers to post assignments on line for students   and to keep parents informed   many schools host their own homework posting services on their websites  	homework is usually given to students by the teachers  	homework is often given to students by the teachers   and published in the united states  
7592	homework   or homework assignment   refers to tasks assigned to students by their teachers to be completed mostly outside of class   and derives its name from the fact that most students do the majority of such work at home  	some students will get more homework and some will get less  	some students will get more homework and help will get less  
7593	billy sur aisne is a commune in the department of aisne in picardy in northern france  	billy sur aisne is a commune   it is found in the region picardie in the aisne department in the north of france  	billy sur aisne is a commune in the aisne department in picardy in northern france  
7594	vehicles from dunearn road that travel via scotts road can also turn left into orchard road at the marriott hotel junction  	coming from the north   vehicles can enter via bukit timah road and scotts road which leads into orchard road  	coming from the north   vehicles can enter bukit timah road and scotts road which leads into orchard road  
7595	shopping malls along orchard road like lucky plaza and liat towers were affected by the flood  	shopping malls along orchard road like lucky plaza and liat towers were affected by the flood  	shopping malls along orchard road like lucky plaza and liat towers were affected by the flood  
7596	the usual parts to design a complete skateboard are the deck   trucks   wheels   bearings   hardware   and griptape  	the normal parts to made a complete skateboard are the deck   trucks   wheels   bearings   hardware   and griptape  	the normal parts to made a complete skateboard are the deck   trucks   wheels   bearings   hardware   and griptape  
7597	the first shop of note on orchard road was tangs founded in 1934 and established on orchard road in the 1950s  	the first shop was tangs which was founded in 1934 and got its shop at orchard road in the 1950s  	the first shop was tangs which was founded in 1934 and got its shop at orchard road in the 1950s  
7598	however   since the opening of the ion orchard   the entrance of the orchard entrance has been moved underground below the upcoming mall  	however   due to the construction of ion orchard   the entrance of the orchard entrance has been moved underground below the upcoming mall  	however   due to the construction of ion orchard   the entrance to the orchard entrance   has been moved underground below the upcoming mall  
7599	orchard road got its name from the nutmeg   pepper and fruit orchards or the plantations that the road led to in the mid 1800s  	orchard road got its name from the nutmeg   pepper and fruit orchards that used to grow on both sides of the street  	orchard road got its name from the nutmeg   pepper and fruit orchards that used to grow on both sides of the street  
7600	flash floods occurred at the road  s iconic junction with scotts road on 16 june 2010 after 100mm of rain fell from 8 am to 11 am that morning   reportedly the worst flood at the junction since 1984  	flash floods occurred at the road junction with scotts road on 16 june 2010 after 100mm of rain fell from 8 am to 11 am that morning   it is the worst flood at the junction since 1984  	flash floods occurred at the road junction in the town of puebla with scotts road on 16 june 2010  
7601	the flood had caused some shopping mall and car park basements to be submerged in the water  	the flood had caused some shopping mall and underground car parks to be under the water  	the flood had caused some shopping mall and underground car parks to be under the water  
7602	it is also the site of the official residence of the president of singapore   the istana  	orchard road has the istana at the southern end of the road   which is the official house for the president of singapore  	orchard road has the istana at the southern end of the road   which is the official house for the president of singapore  
7603	the major bus stops along orchard road are situated at  	the major bus stops along orchard road are situated at  	the major bus stops along orchard road are situated at  
7604	there are many bus services provided by sbs transit and smrt that go to orchard road  	there are many bus services provided by sbs transit and smrt that go to orchard road  	there are many bus services provided by sbs transit and smrt that go to orchard road  
7605	other attractions in riverside include the fox performing arts center   riverside metropolitan museum   which houses exhibits and artifacts of local history   the california museum of photography   the california citrus state historic park   and the parent washington navel orange tree   one of the two original navel orange trees in california  	the city also has riverside municipal museum   the california museum of photography   and the california citrus state historic park   in 1873   the parent washington navel orange tree was planted in riverside   and it is one of two original orange trees in california  	the city also has riverside municipal museum   the california museum of photography   and the california citrus state historic park  
7606	vehicles coming from the opposite direction on paterson road can enter orchard road by turning right  	from the south   vehicles can enter through orchard boulevard and paterson road  	from the south   vehicles can enter through orchard boulevard and paterson road  
7607	there are taxi stands at forum the shopping mall   all hotels   lucky plaza   wisma atria   ngee ann city   the paragon   the heeren shops   centrepoint shopping centre and plaza singapura  	there are taxi stands at forum the shopping mall   all hotels   lucky plaza   wisma atria   ngee ann city   the paragon   the heeren shops   centrepoint shopping centre   next to specialists   shopping centre and plaza singapura  	there are taxi stands at forum the shopping mall   all hotels   lucky plaza   wisma zenith   ngee ann city   the paragon shops   centrepoint shopping centre   next to specialists   shopping centre and plaza singapura  
7608	these three stations are important hubs for commuters   locals   students and tourists who travel to the orchard road shopping and business district  	these three stations are important placces for commuters   locals   students and tourists who travel to the orchard road shopping and business district  	these three stations are important placces for commuters   locals   students and tourists who travel to the orchard road shopping and business district  
7609	rescuers had to pull out about 70 passengers from cars and buses   as flooding shut down orchard road   which is lined with high end shopping malls and tourist attractions  	rescuers had to pull out about 70 passengers from cars and buses   as flooding closed down orchard road   which is lined with high end shopping malls and tourist attractions  	rescuers had to pull out about 70 passengers from cars and buses   as flooding closed down orchard road   which is lined with high end shopping malls and tourist attractions  
7610	lega pro prima divisione is the name of the third highest football league in italy  	lega pro prima divisione is a football league which is third division in italy  	the lega italiana italy divisione professional football club   based in lega   italy  
7611	the helsinki olympic stadium   located in the t  l district about 2 k from the center of the finnish capital helsinki   is the largest stadium in the country   nowadays mainly used for hosting sports events and big concerts  	helsinki olympic stadium  lrb  or olympiastadion  rrb  is a sports stadium located in the capital of finland   helsinki  	helsinki olympic stadium is a football stadium located in the belgian suburb of helsinki   norway  
7612	it is also the home stadium of the finland national football team  	it is also home to finland  s national football team  	it is also home to finland  s national football team  
7613	the city prides itself on its historic connection to the navel orange   which was introduced to north america from brazil by the first settlers to riverside in 1873   riverside is home to the three surviving parent navel orange tree   from which all american west coast navel orange trees are descended  	in 1873   the parent washington navel orange tree was planted in riverside   and it is one of two original orange trees in california  	in 1873   the parent washington navel orange tree was planted in riverside   and it is one of two original orange trees in california  
7614	vick was selected first in the 2001 nfl draft by the atlanta falcons   the san diego chargers had the number one selection but traded the rights to the first overall choice to the atlanta falcons a day before the draft   for which they received the falcons   first round pick  lrb  5th overall  rrb  and third round pick in 2001  	the atlanta falcons chose him with the first pick in the 2001 nfl draft  	the atlanta falcons selected him in the 2001 nfl draft  
7615	vanderlei luxemburgo da silva  lrb  born may 10   1952   in nova igua u   rio de janeiro state  rrb    better known as vanderlei luxemburgo   is a brazilian football manager and former football player  	vanderlei luxemburgo  lrb  born 10 may 1952  rrb  is a former brazilian football player and football coach  	vanderlei luxemburgo  lrb   lrb  born 10 may 1952  rrb  is a former brazilian football player  
7616	gavin peter mccann  lrb  born 10 january 1978 in blackpool   lancashire  rrb  is an english footballer who plays as a midfielder  	gavin mccann  lrb  born 10 january 1978  rrb  is an english football player  	gavin mccann  lrb  born 10 january 1978 in croydon   england  rrb  is an english footballer  
7617	baylor  s men  s sports teams are nicknamed the bears   and the women  s teams are nicknamed the lady bears  	baylor university  s men athletics teams are called the bears and the women  s athletic teams are called the lady bears  	baylor university  s men  s athletic teams are called the lady bears   and the women  s athletic teams are called the lady bears  
7618	appeal to reason is the fifth studio album by american punk rock band rise against  	appeal to reason is the fifth studio album by american punk rock band rise against  	appeal to reason is the fifth studio album by american punk rock band rise against  
